"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 02, 2020","28.65","29.04","29.04","28.55","-","-0.73%"
"Dec 01, 2020","28.86","29.30","30.00","28.71","51.67K","-0.93%"
"Nov 30, 2020","29.13","29.04","29.04","29.04","0.01K","3.55%"
"Nov 27, 2020","28.13","28.43","28.43","28.43","0.01K","0.11%"
"Nov 26, 2020","28.10","28.01","28.01","28.01","0.00K","1.74%"
"Nov 25, 2020","27.62","27.84","28.11","27.54","-","-0.04%"
"Nov 24, 2020","27.63","27.23","27.23","27.23","0.01K","1.39%"
"Nov 23, 2020","27.25","27.30","27.49","27.10","10.94K","1.91%"
"Nov 20, 2020","26.74","26.81","26.81","26.81","0.01K","1.48%"
"Nov 19, 2020","26.35","27.11","27.13","26.32","-","-3.09%"
"Nov 18, 2020","27.19","27.79","27.91","27.10","-","2.06%"
"Nov 17, 2020","26.64","27.32","27.41","26.56","-","-2.74%"
"Nov 16, 2020","27.39","26.75","27.44","26.55","-","4.22%"
"Nov 13, 2020","26.28","25.77","26.53","25.66","-","1.39%"
"Nov 12, 2020","25.92","25.80","26.19","25.63","-","-0.80%"
"Nov 11, 2020","26.13","26.23","27.12","26.05","-","-0.38%"
"Nov 10, 2020","26.23","26.39","26.66","26.14","-","-1.21%"
"Nov 09, 2020","26.55","26.51","26.87","26.51","1.75K","4.45%"
"Nov 06, 2020","25.42","25.43","25.78","25.43","1.53K","-2.16%"
"Nov 05, 2020","25.98","24.97","25.38","24.97","1.14K","3.46%"
"Nov 04, 2020","25.11","24.07","24.95","24.05","1.53K","2.99%"
"Nov 03, 2020","24.38","23.76","24.67","23.75","2.75K","3.00%"
"Nov 02, 2020","23.67","23.31","23.79","22.80","5.00K","-0.13%"
"Oct 30, 2020","23.70","23.31","23.81","23.31","0.03K","0.17%"
"Oct 29, 2020","23.66","22.91","22.91","22.91","0.00K","2.74%"
"Oct 28, 2020","23.03","23.60","23.63","22.89","-","-4.28%"
"Oct 27, 2020","24.06","23.84","24.30","23.47","-","0.88%"
"Oct 26, 2020","23.85","24.95","25.16","23.72","0.10K","-6.43%"
"Oct 23, 2020","25.49","24.06","25.72","23.98","0.08K","5.42%"
"Oct 22, 2020","24.18","23.67","23.67","23.67","0.01K","2.59%"
"Oct 21, 2020","23.57","24.19","24.19","23.53","0.10K","-3.44%"
"Oct 20, 2020","24.41","24.59","24.59","24.59","0.00K","-2.28%"
"Oct 19, 2020","24.98","24.86","24.86","24.74","0.04K","0.36%"
"Oct 16, 2020","24.89","24.96","24.96","24.83","0.05K","-0.28%"
"Oct 15, 2020","24.96","24.88","24.92","24.78","0.02K","-3.07%"
"Oct 14, 2020","25.75","25.19","25.19","25.19","0.01K","2.14%"
"Oct 13, 2020","25.21","25.29","25.31","25.29","0.01K","-2.55%"
"Oct 12, 2020","25.87","25.39","25.61","25.35","0.03K","0.62%"
"Oct 09, 2020","25.71","26.19","26.19","25.68","0.02K","-2.35%"
"Oct 08, 2020","26.33","26.95","27.01","26.20","-","-2.08%"
"Oct 07, 2020","26.89","26.56","27.86","26.55","-","0.41%"
"Oct 06, 2020","26.78","26.70","26.70","26.70","0.01K","-0.52%"
"Oct 05, 2020","26.92","27.48","27.60","26.55","0.06K","-0.33%"
"Oct 02, 2020","27.01","26.04","26.04","26.04","0.01K","1.96%"
"Oct 01, 2020","26.49","26.56","26.56","26.56","0.11K","-1.56%"
"Sep 30, 2020","26.91","26.54","27.23","26.44","-","0.56%"
"Sep 29, 2020","26.76","27.58","27.66","26.68","-","-3.36%"
"Sep 28, 2020","27.69","26.34","26.46","26.31","0.09K","5.89%"
"Sep 25, 2020","26.15","26.73","26.77","25.97","0.06K","-2.32%"
"Sep 24, 2020","26.77","26.38","26.38","26.38","0.00K","1.10%"
"Sep 23, 2020","26.48","28.09","28.14","26.42","-","-4.85%"
"Sep 22, 2020","27.83","26.50","26.83","25.70","0.14K","5.50%"
"Sep 21, 2020","26.38","27.55","27.55","26.31","0.14K","-5.68%"
"Sep 18, 2020","27.97","28.35","28.35","28.35","0.02K","-1.55%"
"Sep 17, 2020","28.41","28.81","28.92","28.60","0.03K","-5.17%"
"Sep 16, 2020","29.96","29.67","29.67","29.67","0.01K","0.67%"
"Sep 15, 2020","29.76","30.73","30.76","30.49","0.02K","-2.23%"
"Sep 14, 2020","30.44","30.28","30.28","30.28","0.22K","7.79%"
"Sep 11, 2020","28.24","28.38","28.39","28.27","0.05K","-0.56%"
"Sep 10, 2020","28.40","27.34","27.89","27.31","0.20K","4.45%"
"Sep 09, 2020","27.19","26.89","26.89","26.25","1.04K","1.53%"
"Sep 08, 2020","26.78","27.79","27.85","26.91","0.03K","-0.96%"
"Sep 07, 2020","27.04","27.45","27.45","26.84","0.03K","-1.10%"
"Sep 04, 2020","27.34","28.35","28.75","28.34","0.03K","-4.81%"
"Sep 03, 2020","28.72","28.20","28.63","28.09","0.04K","1.81%"
"Sep 02, 2020","28.21","27.79","27.83","27.75","0.05K","1.77%"
"Sep 01, 2020","27.72","28.53","28.65","28.53","0.01K","-3.21%"
"Aug 31, 2020","28.64","29.79","29.79","29.70","0.01K","-2.92%"
"Aug 28, 2020","29.50","28.85","29.91","28.78","0.07K","4.06%"
"Aug 27, 2020","28.35","28.50","28.50","28.50","0.10K","-0.87%"
"Aug 26, 2020","28.60","28.48","28.55","28.40","0.00K","0.03%"
"Aug 25, 2020","28.59","27.58","28.74","27.58","0.11K","4.15%"
"Aug 24, 2020","27.45","25.92","27.68","25.89","-","7.14%"
"Aug 21, 2020","25.62","25.91","25.91","25.30","-","-1.00%"
"Aug 20, 2020","25.88","26.16","26.28","25.66","7.79K","-1.22%"
"Aug 19, 2020","26.20","26.39","26.84","26.05","-","-1.17%"
